time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450550000	13.3673	20.8443	4.98877	2.91992	0.589602	radar	2.33487	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1234	20.8834	4.97974	2.95358	0.59414	lidar	0.170564	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.8909	20.9425	4.96715	2.97458	0.582222	radar	1.79953	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.6975	20.9822	4.88461	2.99845	0.578663	lidar	2.04137	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4427	21.0242	4.91498	3.02592	0.578744	radar	2.53627	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.1967	21.0606	4.9244	3.05078	0.574185	lidar	0.136941	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.958	21.0805	4.9208	3.08182	0.58203	radar	0.949941	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7184	21.0492	4.89039	3.1264	0.599302	lidar	1.90501	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4715	21.0358	4.889	3.16163	0.605165	radar	1.07248	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2596	21.0271	4.83501	3.19154	0.606269	lidar	0.700432	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0051	20.9887	4.85066	3.2308	0.615888	radar	4.12539	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.799	20.9487	4.78763	3.26781	0.624422	lidar	0.5476	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5524	20.9473	4.76499	3.27253	0.572216	radar	5.63292	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.265	20.978	4.86447	3.27352	0.539087	lidar	3.47008	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0268	20.9593	4.85837	3.29258	0.527967	radar	1.02151	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.83898	20.9183	4.77136	3.32278	0.534431	lidar	1.62487	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.60829	20.9083	4.72196	3.32166	0.481648	radar	2.23758	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.41942	20.8558	4.64986	3.3522	0.490465	lidar	0.876596	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.202	20.8125	4.63937	3.37577	0.491971	radar	1.44829	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.89908	20.7853	4.76971	3.38113	0.467991	lidar	2.49103	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.68798	20.7046	4.74466	3.41733	0.486037	radar	4.40329	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.40477	20.6233	4.83932	3.44073	0.482994	lidar	2.87568	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.17633	20.543	4.846	3.46999	0.492431	radar	0.0977043	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.93162	20.4638	4.8732	3.49184	0.488816	lidar	0.133554	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.7157	20.3773	4.88216	3.52527	0.510653	radar	3.47401	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.39694	20.3215	5.02764	3.5218	0.475684	lidar	3.32884	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.16288	20.2259	5.02245	3.54303	0.469319	radar	0.223697	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.89597	20.1432	5.07785	3.55357	0.454008	lidar	0.536046	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.66925	20.0524	5.05443	3.56916	0.441643	radar	0.514319	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.42184	19.9605	5.07967	3.58229	0.431363	lidar	0.236067	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.20442	19.8673	5.05676	3.59989	0.427999	radar	2.90322	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.94038	19.7736	5.11086	3.60661	0.410892	lidar	0.610605	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.70635	19.6285	5.16787	3.64436	0.443061	radar	1.86435	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.53919	19.5035	5.0754	3.67766	0.457093	lidar	1.64821	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.3374	19.3545	5.06787	3.71125	0.471949	radar	1.79046	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.12742	19.2521	5.04676	3.72277	0.459115	lidar	1.95284	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.93975	19.1402	4.96426	3.73416	0.436286	radar	4.69536	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.78322	18.9888	4.8977	3.77096	0.454544	lidar	0.756104	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
